id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29796702,"Private master bedroom-M, full bath, Boston, MA",155439794,MichelleY,,Brighton,42.350477396420644,-71.1657525363342,Private room,75,1,2,2018-11-11,0.87,8,80
29798556,Quiet Bedroom,224185838,Stephanie,,West Roxbury,42.269620120006145,-71.14829716058729,Private room,42,1,1,2018-11-16,0.48,1,0
29799578,Casa de familia,224161615,Angela,,Roslindale,42.27802482128988,-71.12177949030007,Private room,50,31,0,,,1,365
29800537,"Private room-E with 2 full size beds in Boston, MA",155439794,MichelleY,,Brighton,42.35051854216959,-71.1657060031007,Private room,60,1,2,2019-01-05,2,8,90
29801970,"Private room-D with 2 beds in Boston, MA",155439794,MichelleY,,Brighton,42.350811005820184,-71.1639338096844,Private room,60,1,3,2019-01-01,1.32,8,90
29803205,"Modern, Clean, and Cozy Private Room With Deck.",25955898,Stella,,Jamaica Plain,42.3170029337405,-71.09847955822306,Private room,75,1,7,2019-01-06,3.09,1,89
29819674,M2A Spacious Downtown Living!,21184200,Paige,,Downtown,42.35653143004581,-71.05302873804426,Entire home/apt,199,1,6,2018-12-29,2.95,42,152
29823297,Central and Convenient 1BR Hideaway,20350681,Steven,,Roxbury,42.31597593111832,-71.09423895401054,Private room,30,2,3,2019-01-13,3,1,26
29823839,Private Bedroom/Bathroom/Walk-in Closet in Boston,83284924,Julie,,Brighton,42.35394575617292,-71.17169398958126,Private room,24,10,0,,,1,4
29825154,(6-1) South End Escape 2 Bed! Near Boston Medical!,175856705,Frankie,,South End,42.33642309360258,-71.0765748107455,Entire home/apt,125,1,2,2018-11-18,0.97,4,185
29830828,Charming Beacon Hill Apartment,93174961,Lindsay,,Beacon Hill,42.36099625703451,-71.06785281492371,Entire home/apt,275,1,3,2019-01-01,1.67,1,57
29831173,Rose Room/Harvard Business School/free parking早餐方便,224379152,Tingying(Helen),,Brighton,42.352407818334186,-71.15259680574736,Private room,76,1,2,2018-11-12,0.87,3,365
29831275,Chic 1 bedroom in the heart of Boston,224391378,Carmen,,Brighton,42.350871534575425,-71.16937626573517,Entire home/apt,250,1,1,2018-11-13,0.45,1,179
29833566,"Private room-C with Queen size bed in Boston, MA",155439794,MichelleY,,Brighton,42.35067856238324,-71.16546728701141,Private room,60,1,1,2018-11-17,0.48,8,47
29833651,Bina’s Home away from home 4,153568352,Sabina & Frederick,,Mattapan,42.278297413865225,-71.08681076924366,Private room,55,1,10,2019-01-13,4.41,6,285
29834010,2 Bedroom close to Fenway Park & Downtown Boston,222465244,Estefan,,Jamaica Plain,42.32531646523062,-71.10548267916103,Shared room,40,1,0,,,9,365
29834290,"HP1, This is NOT a room. It’s Only Parking/後院停車預訂",30525952,Yueyang,,Dorchester,42.28169578434285,-71.06665673021001,Private room,10,1,5,2018-12-31,2.14,13,361
29835278,3 Bedroom available Close Fenway & Downtown Boston,222465244,Estefan,,Jamaica Plain,42.325436066903194,-71.10415553718359,Shared room,40,1,0,,,9,363
29847830,Upscale 1-Bedroom Downtown Boston Apt + Pool,163251048,Jen,,Chinatown,42.35245691345125,-71.06127266992004,Entire home/apt,499,3,0,,,73,318
29848172,Posh Boston 1-BR Apt Near Boston Common!,163251048,Jen,,Chinatown,42.35147541639643,-71.06138041497847,Entire home/apt,499,3,0,,,73,337
29848419,Magnificent Downtown Boston 1BR Apt+ Pool and Gym!,163251048,Jen,,Chinatown,42.35202166212661,-71.06173705019386,Entire home/apt,499,3,0,,,73,350
29848635,Downtown Boston 1BR Apt + Magnificent Amenities!!,163251048,Jen,,Downtown,42.35134792894367,-71.06328945545035,Entire home/apt,499,3,0,,,73,334
29848947,Magnificent Boston 2BR Apt Next to Boston Common!!,163251048,Jen,,Downtown,42.352058592027845,-71.06345400024234,Entire home/apt,599,3,0,,,73,184
29849245,Opulent 2-Bedroom Apt in Heart of Boston!!!,163251048,Jen,,Chinatown,42.35122797621138,-71.06283861378068,Entire home/apt,599,3,0,,,73,195
29849405,Posh 2BR Apt in Center Boston + Upscale Amenities!,163251048,Jen,,Chinatown,42.352363502910364,-71.06188097178294,Entire home/apt,599,3,0,,,73,346
29849974,Magnificent West End 1-Bedroom Apt Next to MGH!,163251048,Jen,,West End,42.36348661161136,-71.06759471021951,Entire home/apt,399,3,0,,,73,263
29850241,Private Roof Deck! Overlooking Boston - Beautiful!,1118374,Matthew,,South Boston,42.33389747176297,-71.04583615055616,Entire home/apt,171,1,14,2019-01-13,6.18,39,197
